DateTime,Junction,Vehicles,ID,Hour,Weekday
2015-11-01 00:00:00,1,15,20151101001,0,6
2015-11-01 01:00:00,1,13,20151101011,1,6
2015-11-01 02:00:00,1,10,20151101021,2,6
2015-11-01 03:00:00,1,7,20151101031,3,6
2015-11-01 04:00:00,1,9,20151101041,4,6
2015-11-01 05:00:00,1,6,20151101051,5,6
2015-11-01 06:00:00,1,9,20151101061,6,6
2015-11-01 07:00:00,1,8,20151101071,7,6
2015-11-01 08:00:00,1,11,20151101081,8,6
2015-11-01 09:00:00,1,12,20151101091,9,6
2015-11-01 10:00:00,1,15,20151101101,10,6
2015-11-01 11:00:00,1,17,20151101111,11,6
2015-11-01 12:00:00,1,16,20151101121,12,6
2015-11-01 13:00:00,1,15,20151101131,13,6
2015-11-01 14:00:00,1,16,20151101141,14,6
2015-11-01 15:00:00,1,12,20151101151,15,6
2015-11-01 16:00:00,1,12,20151101161,16,6
2015-11-01 17:00:00,1,16,20151101171,17,6
2015-11-01 18:00:00,1,17,20151101181,18,6
2015-11-01 19:00:00,1,20,20151101191,19,6
2015-11-01 20:00:00,1,17,20151101201,20,6
2015-11-01 21:00:00,1,19,20151101211,21,6
2015-11-01 22:00:00,1,20,20151101221,22,6
2015-11-01 23:00:00,1,15,20151101231,23,6
2015-11-02 00:00:00,1,14,20151102001,0,0
2015-11-02 01:00:00,1,12,20151102011,1,0
2015-11-02 02:00:00,1,14,20151102021,2,0
2015-11-02 03:00:00,1,12,20151102031,3,0
2015-11-02 04:00:00,1,12,20151102041,4,0
2015-11-02 05:00:00,1,11,20151102051,5,0
2015-11-02 06:00:00,1,13,20151102061,6,0
2015-11-02 07:00:00,1,14,20151102071,7,0
2015-11-02 08:00:00,1,12,20151102081,8,0
2015-11-02 09:00:00,1,22,20151102091,9,0
2015-11-02 10:00:00,1,32,20151102101,10,0
2015-11-02 11:00:00,1,31,20151102111,11,0
2015-11-02 12:00:00,1,35,20151102121,12,0
2015-11-02 13:00:00,1,26,20151102131,13,0
2015-11-02 14:00:00,1,34,20151102141,14,0
2015-11-02 15:00:00,1,30,20151102151,15,0
2015-11-02 16:00:00,1,27,20151102161,16,0
2015-11-02 17:00:00,1,27,20151102171,17,0
2015-11-02 18:00:00,1,24,20151102181,18,0
2015-11-02 19:00:00,1,26,20151102191,19,0
2015-11-02 20:00:00,1,29,20151102201,20,0
2015-11-02 21:00:00,1,32,20151102211,21,0
2015-11-02 22:00:00,1,30,20151102221,22,0
2015-11-02 23:00:00,1,27,20151102231,23,0
2015-11-03 00:00:00,1,21,20151103001,0,1
2015-11-03 01:00:00,1,18,20151103011,1,1
2015-11-03 02:00:00,1,19,20151103021,2,1
2015-11-03 03:00:00,1,13,20151103031,3,1
2015-11-03 04:00:00,1,11,20151103041,4,1
2015-11-03 05:00:00,1,11,20151103051,5,1
2015-11-03 06:00:00,1,11,20151103061,6,1
2015-11-03 07:00:00,1,14,20151103071,7,1
2015-11-03 08:00:00,1,15,20151103081,8,1
2015-11-03 09:00:00,1,29,20151103091,9,1
2015-11-03 10:00:00,1,33,20151103101,10,1
2015-11-03 11:00:00,1,32,20151103111,11,1
2015-11-03 12:00:00,1,32,20151103121,12,1
2015-11-03 13:00:00,1,29,20151103131,13,1
2015-11-03 14:00:00,1,27,20151103141,14,1
2015-11-03 15:00:00,1,26,20151103151,15,1
2015-11-03 16:00:00,1,28,20151103161,16,1
2015-11-03 17:00:00,1,26,20151103171,17,1
2015-11-03 18:00:00,1,25,20151103181,18,1
2015-11-03 19:00:00,1,29,20151103191,19,1
2015-11-03 20:00:00,1,26,20151103201,20,1
2015-11-03 21:00:00,1,24,20151103211,21,1
2015-11-03 22:00:00,1,25,20151103221,22,1
2015-11-03 23:00:00,1,20,20151103231,23,1
2015-11-04 00:00:00,1,18,20151104001,0,2
2015-11-04 01:00:00,1,18,20151104011,1,2
2015-11-04 02:00:00,1,13,20151104021,2,2
2015-11-04 03:00:00,1,13,20151104031,3,2
2015-11-04 04:00:00,1,10,20151104041,4,2
2015-11-04 05:00:00,1,12,20151104051,5,2
2015-11-04 06:00:00,1,13,20151104061,6,2
2015-11-04 07:00:00,1,11,20151104071,7,2
2015-11-04 08:00:00,1,13,20151104081,8,2
2015-11-04 09:00:00,1,22,20151104091,9,2
2015-11-04 10:00:00,1,26,20151104101,10,2
2015-11-04 11:00:00,1,27,20151104111,11,2
2015-11-04 12:00:00,1,31,20151104121,12,2
2015-11-04 13:00:00,1,24,20151104131,13,2
2015-11-04 14:00:00,1,23,20151104141,14,2
2015-11-04 15:00:00,1,26,20151104151,15,2
2015-11-04 16:00:00,1,26,20151104161,16,2
2015-11-04 17:00:00,1,24,20151104171,17,2
2015-11-04 18:00:00,1,23,20151104181,18,2
2015-11-04 19:00:00,1,25,20151104191,19,2
2015-11-04 20:00:00,1,26,20151104201,20,2
2015-11-04 21:00:00,1,24,20151104211,21,2
2015-11-04 22:00:00,1,26,20151104221,22,2
2015-11-04 23:00:00,1,24,20151104231,23,2
2015-11-05 00:00:00,1,19,20151105001,0,3
2015-11-05 01:00:00,1,20,20151105011,1,3
2015-11-05 02:00:00,1,18,20151105021,2,3
2015-11-05 03:00:00,1,13,20151105031,3,3
2015-11-05 04:00:00,1,13,20151105041,4,3
2015-11-05 05:00:00,1,9,20151105051,5,3
2015-11-05 06:00:00,1,12,20151105061,6,3
2015-11-05 07:00:00,1,12,20151105071,7,3
2015-11-05 08:00:00,1,15,20151105081,8,3
2015-11-05 09:00:00,1,16,20151105091,9,3
2015-11-05 10:00:00,1,23,20151105101,10,3
2015-11-05 11:00:00,1,24,20151105111,11,3
2015-11-05 12:00:00,1,25,20151105121,12,3
2015-11-05 13:00:00,1,24,20151105131,13,3
2015-11-05 14:00:00,1,26,20151105141,14,3
2015-11-05 15:00:00,1,22,20151105151,15,3
2015-11-05 16:00:00,1,20,20151105161,16,3
2015-11-05 17:00:00,1,20,20151105171,17,3
2015-11-05 18:00:00,1,22,20151105181,18,3
2015-11-05 19:00:00,1,26,20151105191,19,3
2015-11-05 20:00:00,1,22,20151105201,20,3
2015-11-05 21:00:00,1,21,20151105211,21,3
2015-11-05 22:00:00,1,21,20151105221,22,3
2015-11-05 23:00:00,1,21,20151105231,23,3
2015-11-06 00:00:00,1,16,20151106001,0,4
2015-11-06 01:00:00,1,18,20151106011,1,4
2015-11-06 02:00:00,1,19,20151106021,2,4
2015-11-06 03:00:00,1,14,20151106031,3,4
2015-11-06 04:00:00,1,12,20151106041,4,4
2015-11-06 05:00:00,1,13,20151106051,5,4
2015-11-06 06:00:00,1,14,20151106061,6,4
2015-11-06 07:00:00,1,14,20151106071,7,4
2015-11-06 08:00:00,1,13,20151106081,8,4
2015-11-06 09:00:00,1,20,20151106091,9,4
2015-11-06 10:00:00,1,22,20151106101,10,4
2015-11-06 11:00:00,1,26,20151106111,11,4
2015-11-06 12:00:00,1,26,20151106121,12,4
2015-11-06 13:00:00,1,21,20151106131,13,4
2015-11-06 14:00:00,1,23,20151106141,14,4
2015-11-06 15:00:00,1,23,20151106151,15,4
2015-11-06 16:00:00,1,19,20151106161,16,4
2015-11-06 17:00:00,1,19,20151106171,17,4
2015-11-06 18:00:00,1,20,20151106181,18,4
2015-11-06 19:00:00,1,24,20151106191,19,4
2015-11-06 20:00:00,1,18,20151106201,20,4
2015-11-06 21:00:00,1,19,20151106211,21,4
2015-11-06 22:00:00,1,16,20151106221,22,4
2015-11-06 23:00:00,1,17,20151106231,23,4
2015-11-07 00:00:00,1,16,20151107001,0,5
2015-11-07 01:00:00,1,16,20151107011,1,5
2015-11-07 02:00:00,1,10,20151107021,2,5
2015-11-07 03:00:00,1,9,20151107031,3,5
2015-11-07 04:00:00,1,8,20151107041,4,5
2015-11-07 05:00:00,1,7,20151107051,5,5
2015-11-07 06:00:00,1,9,20151107061,6,5
2015-11-07 07:00:00,1,8,20151107071,7,5
2015-11-07 08:00:00,1,12,20151107081,8,5
2015-11-07 09:00:00,1,13,20151107091,9,5
2015-11-07 10:00:00,1,17,20151107101,10,5
2015-11-07 11:00:00,1,14,20151107111,11,5
2015-11-07 12:00:00,1,14,20151107121,12,5
2015-11-07 13:00:00,1,14,20151107131,13,5
